File,Label,Reference,Date,Week,Year,Location,Microcystin,DOC,TKP,TKN,NH3,Nox,NO2,Cl,pH,rRNA_16S,Microcystis,Aanabaena,Planktothrix
IDNR19_01_006,1-21280001,21280001,21/05/2019,1,2019,Backbone Beach,0.52,2.259,1.285,0.174,2.6349,8.3,0.0462,17.412,8.3,,,,
IDNR19_02_006,2-21280001,21280001,28/05/2019,2,2019,Backbone Beach,0.12,2.138,1.077,0.229,1.6551,9.297809403,0.0368,16.24,7.73,,,,
IDNR19_03_006,3-21280001,21280001,4/6/2019,3,2019,Backbone Beach,0,1.671,6.276,0.443,0.5257,10.917,0.0363,16.387,8.31,,,,
IDNR19_04_006,4-21280001,21280001,6/11/2019,4,2019,Backbone Beach,0.018,2.733,0.779,1.099,0.0831,7.194,0.0459,16.049,7.92,,,,
IDNR19_05_006,5-21280001,21280001,6/18/2019,5,2019,Backbone Beach,0,2.562,0.106,0.127,0.0208,6.881,0.0458,15.382,8.18,,,,
IDNR19_06_006,6-21280001,21280001,6/25/2019,6,2019,Backbone Beach,0,3.899,0.473,0.18,0.0822,4.764,0.0579,16.994,7.7,19465141.54,0,0,0
IDNR19_07_006,7-21280001,21280001,7/1/2019,7,2019,Backbone Beach,0,4.689,0.023,0.282,0.118,7.227,0.0566,16.738,7.81,4278450.81688752,0,0,0
IDNR19_08_006,8-21280001,21280001,7/9/2019,8,2019,Backbone Beach,0.23,3.886,0.056,0.346,0.0556,5.148,0.04,16.352,8.13,610231.468954832,610231.468954832,0,0
IDNR19_09_006,9-21280001,21280001,7/16/2019,9,2019,Backbone Beach,0.743,3.824,-0.005,0.365,0.026,5.064,0.0396,14.867,8.19,5582700.973,0,0,0
IDNR19_10_006,10-21280001,21280001,7/23/2019,10,2019,Backbone Beach,0.038,2.248,0.287,0.858,0.088,3.824,0.0525,15.754,8.06,10103848,0,0,0
IDNR19_11_006,11-21280001,21280001,7/30/2019,11,2019,Backbone Beach,0.105,4.07,0.199,1.178,0.0624,2.648,0.0652,13.677,8.03,2804880.531,0,0,0
IDNR19_12_006,12-21280001,21280001,8/6/2019,12,2019,Backbone Beach,0.343,3.831,0.043,0.781,0.0373,4.709,0.0584,13.878,8.19,11888871.83,0,0,0
IDNR19_13_006,13-21280001,21280001,8/13/2019,13,2019,Backbone Beach,0,3.075,0.058,1.593,0.0248,1.532,0.0642,12.915,7.71,1256322.456,0,0,0
IDNR19_14_006,14-21280001,21280001,8/20/2019,14,2019,Backbone Beach,0.085,3.865,0.033,0.534,0.0558,2.438,0.0522,12.925,7.57,383472.0216,0,0,0
IDNR19_15_006,15-21280001,21280001,8/27/2019,15,2019,Backbone Beach,0,1.958,-0.04,2.089,0.0437,6.668,0.0487,15.569,8.16,4152121.403,0,0,0
IDNR19_01_029,1-21350001,21350001,21/05/2019,1,2019,Beed’s Lake Beach,0.005,2.486,1.43,0.342,2.2325,8.975,0.0338,14.583,8.32,,,,
IDNR19_02_029,2-21350001,21350001,28/05/2019,2,2019,Beed’s Lake Beach,0.027,2.664,3.039,0.217,1.7898,6.581201602,0.0412,12.356,8.11,,,,
IDNR19_03_029,3-21350001,21350001,4/6/2019,3,2019,Beed’s Lake Beach,0,2.673,1.042,0.352,0.1115,9.016,0.0285,12.745,7.78,,,,
IDNR19_04_029,4-21350001,21350001,6/11/2019,4,2019,Beed’s Lake Beach,0.15,3.269,0.798,1.093,0.0234,6.731,0.0415,13.514,8.16,,,,
