Lake,Station, Station2
Backbone Beach,KIAINDEP3,NA
Beed’s Lake Beach,KIAHAMPT3,KIAHAMPT7
Big Creek Beach,KIAPOLKC7,KIAPOLKC12
Black Hawk Beach,KIAODEBO3,NA
Brushy Creek Beach,KIALEHIG3,NA
Clear Lake Beach,KIAVENTU2,NA
Crandall’s Beach,KIASPIRI1,KIAESTHE8
Denison Beach,KIAODEBO3,NA
Emerson Bay Beach,KIAMILFO2,KIASPIRI1
George Wyth Beach,KIACEDAR30,NA
Green Valley Beach,KIACREST15,NA
Gull Point Beach,KIAMILFO2,KIASPIRI1
Honey Creek Resort Beach,KIAMILLE4,KIACHARI2
Lacey-Keosauqua Beach,KIADOUDS2,KIABLOOM7
Lake Ahquabi Beach,KIAINDIA2,NA
Lake Anita Beach,KIAGUTHR2,KIAANITA4
Lake Darling Beach,KIAHEDRI2,KIABRIGH1
Lake Keomah Beach,KIAOSKAL3,NA
Lake Macbride Beach,KIASOLON7,NA
Lake Manawa Beach,KNEBELLE19,NA
Lake Wapello Beach,KIAMORAV3,NA
Lake of Three Fires Beach,KIABEDFO2,KIABEDFO3
Lewis and Clark (Blue Lake) Beach,KIAWHITI3,KNEWALTH4
Lower Pine Lake Beach,KIAELDOR5,KIAELDOR10
McIntosh Woods Beach,KIAVENTU2,NA
Nine Eagles Beach,KIALAMON4,NA
North Twin Lake East Beach,KIAJOLLE2,KIAMANSO3
North Twin Lake West Beach,KIAMANSO3,KIAJOLLE2
Pike’s Point Beach,KIASPIRI1,KIAESTHE8
Pleasant Creek Lake Beach,KIAURBAN45,KIACENTE12
Prairie Rose Beach,KIAHARLA18,NA
Red Haw Beach,KIAMILLE4,KIACHARI2
Rock Creek Beach,KIAKELLO2,KIAGRINN6
Springbrook Beach,KIAPANOR4,NA
Triboji Beach,KIASPIRI1,KIAESTHE8
Union Grove Beach,KIAGLADB3,KIABEAMA4
Viking Lake Beach,KIAVILLI7,NA
